"Story","Title","Result","Date","Stability","Duration (s)"
"Automatización de REST API - POM","Consultar un usuario con método GET","PENDING","2024-05-23T08:08:15.216-05:00[America/Bogota]","0.0","0.1"
"Automatización de REST API - POM","Modificar un usuario con método PUT","SUCCESS","2024-05-23T08:08:15.331-05:00[America/Bogota]","0.0","3.8"
